"category","problem","MH","avg_fit","Opt"
"crafted","MANN_a27.clq.cnf","EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",408.35714285714283,
"crafted","MANN_a27.clq.cnf","EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",410.07142857142856,
"crafted","MANN_a27.clq.cnf","EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",404,
"crafted","MANN_a27.clq.cnf","EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",404,
"crafted","MANN_a27.clq.cnf","EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",406,
"crafted","MANN_a27.clq.cnf","EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",408.92857142857144,
"crafted","MANN_a27.clq.cnf","GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",407,
"crafted","MANN_a27.clq.cnf","GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",404.8,
"crafted","MANN_a27.clq.cnf","GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",406,
"crafted","MANN_a27.clq.cnf","GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",405.1333333333333,
"crafted","MANN_a27.clq.cnf","PSO pop(20) linear(3) params(1.0, 1.7, 2.3)",404.06666666666666,
"crafted","MANN_a27.clq.cnf","PSO pop(50) linear(2) params(0.8, 2.3, 2.9)",405.4,
"crafted","MANN_a27.clq.cnf","PSO pop(50) linear(5) params(1.0, 1.3, 1.9)",404.3333333333333,
"crafted","MANN_a27.clq.cnf","PSO pop(50) ring(2) params(1.0, 1.7, 2.3)",405.73333333333335,
"crafted","MANN_a45.clq.cnf","EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",418,
"crafted","MANN_a45.clq.cnf","EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",418.5,
"crafted","MANN_a45.clq.cnf","EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",418.07142857142856,
"crafted","MANN_a45.clq.cnf","EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",418,
"crafted","MANN_a45.clq.cnf","EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",418,
"crafted","MANN_a45.clq.cnf","EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",418.2142857142857,
"crafted","MANN_a45.clq.cnf","GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",418,
"crafted","MANN_a45.clq.cnf","GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",418,
"crafted","MANN_a45.clq.cnf","GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",418,
"crafted","MANN_a45.clq.cnf","GA pop(70) 2pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",418,
"crafted","MANN_a45.clq.cnf","PSO pop(20) linear(3) params(1.0, 1.7, 2.3)",418,
"crafted","MANN_a45.clq.cnf","PSO pop(50) linear(2) params(0.8, 2.3, 2.9)",418,
"crafted","MANN_a45.clq.cnf","PSO pop(50) linear(5) params(1.0, 1.3, 1.9)",418,
"crafted","MANN_a45.clq.cnf","PSO pop(50) ring(2) params(1.0, 1.7, 2.3)",418,
"crafted","MANN_a81.clq.cnf","EDA pop(200) best(0.05, 10) worst(0.05, 10) tolerance(0.1)",399,"399"
"crafted","MANN_a81.clq.cnf","EDA pop(30) best(0.05, 5) worst(0.05, 5) tolerance(0.1)",399,"399"
"crafted","MANN_a81.clq.cnf","EDA pop(50) best(0.05, 1) worst(0.01, 0) tolerance(0.05)",399,"399"
"crafted","MANN_a81.clq.cnf","EDA pop(50) best(0.1, 1) worst(0.01, 0) tolerance(0.01)",399,"399"
"crafted","MANN_a81.clq.cnf","EDA pop(70) best(0.05, 5) worst(0.1, 0) tolerance(0.1)",399,"399"
"crafted","MANN_a81.clq.cnf","EDA pop(70) best(0.1, 5) worst(0.1, 5) tolerance(0.1)",399,"399"
"crafted","MANN_a81.clq.cnf","GA pop(50) 1pt xover(0.6) detbitflip(0.05, 0.01) tournament(5.0)",399,"399"
"crafted","MANN_a81.clq.cnf","GA pop(50) 1pt xover(0.8) bitflip(0.9, 0.01) stoch_tourn(0.7)",399,"399"
"crafted","MANN_a81.clq.cnf","GA pop(70) 1pt xover(0.8) detbitflip(0.05, 0.01) tournament(2.0)",399,"399"
