@relation InstanceResultListener

@attribute Key_Dataset {output}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.functions.MultilayerPerceptron,weka.classifiers.rules.ZeroR,weka.classifiers.functions.SMO,weka.classifiers.functions.RBFNetwork}
@attribute Key_Scheme_options {'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a -D','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t -D','-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H t','','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 1.0\"','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 2.0\"','-C 1.0 -L 0.001 -P 1.0E-12 -N 0 -V -1 -W 1 -K \"weka.classifiers.functions.supportVector.PolyKernel -C 250007 -E 3.0\"','-B 3 -S 1 -R 1.0E-8 -M -1 -W 0.1','-B 4 -S 1 -R 1.0E-8 -M -1 -W 0.1','-B 5 -S 1 -R 1.0E-8 -M -1 -W 0.1','-B 6 -S 1 -R 1.0E-8 -M -1 -W 0.1','-B 7 -S 1 -R 1.0E-8 -M -1 -W 0.1','-B 8 -S 1 -R 1.0E-8 -M -1 -W 0.1','-B 9 -S 1 -R 1.0E-8 -M -1 -W 0.1','-B 10 -S 1 -R 1.0E-8 -M -1 -W 0.1'}
@attribute Key_Scheme_version_ID {-5990607817048210779,48055541465867954,-6585883636378691736,-3669814959712675720}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Area_under_ROC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Summary string

@data

output,1,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160110.2317,357,184,139,45,0,75.543478,24.456522,0,0.543449,0.083267,0.225974,52.096775,80.479982,246.778295,212.301166,34.477129,1.341186,1.153811,0.187376,121.290848,0.659189,8555.288112,0.72973,54,0.218182,24,0.781818,86,0.27027,20,0.692308,0.72973,0.710526,0.831941,0.755435,0.20016,0.79984,0.244565,0.737856,0.755435,0.744535,0.863417,148.969,0.078,148.5,0.07,442871,94065,51680,?
output,2,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160110.232,357,184,137,47,0,74.456522,25.543478,0,0.532161,0.08456,0.229151,52.921095,81.659131,242.960166,167.920525,75.039642,1.320436,0.912612,0.407824,124.715228,0.6778,8730.267644,0.472973,35,0.063636,7,0.936364,103,0.527027,39,0.833333,0.472973,0.603448,0.835258,0.744565,0.214842,0.785158,0.255435,0.766167,0.744565,0.72682,0.878279,148.923,0.087,148.74,0.06,442871,94065,51680,?
output,3,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160110.2322,357,184,136,48,0,73.913043,26.086957,0,0.513844,0.09898,0.250335,61.945751,89.208122,242.960166,335.802591,-92.842425,1.320436,1.825014,-0.504578,103.808175,0.564175,7266.740126,0.621622,46,0.172727,19,0.827273,91,0.378378,28,0.707692,0.621622,0.661871,0.782432,0.73913,0.219829,0.780171,0.26087,0.727589,0.73913,0.730527,0.81475,148.958,0.078,148.76,0.07,442871,94065,51680,?
output,4,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160110.2325,359,182,141,41,0,77.472527,22.527473,0,0.580102,0.084341,0.232748,52.90816,83.331117,234.82441,200.524621,34.299789,1.290244,1.101784,0.18846,119.817646,0.658339,8297.301051,0.684932,50,0.165138,18,0.834862,91,0.315068,23,0.735294,0.684932,0.70922,0.822923,0.774725,0.189445,0.810555,0.225275,0.769529,0.774725,0.770921,0.856097,149.035,0.075,148.56,0.06,442871,94555,51190,?
output,5,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160110.2327,356,185,142,43,0,76.756757,23.243243,0,0.591171,0.089091,0.238688,55.64151,84.698507,250.733714,269.047754,-18.31404,1.355317,1.454312,-0.098995,119.118391,0.643883,8444.65663,0.72973,54,0.18018,20,0.81982,91,0.27027,20,0.72973,0.72973,0.72973,0.826272,0.767568,0.142496,0.857504,0.232432,0.781263,0.767568,0.773165,0.874073,148.115,0.078,147.55,0.06,442871,93820,51925,?
output,6,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160110.233,358,183,141,42,0,77.04918,22.95082,0,0.579103,0.076498,0.225265,47.961505,80.568245,239.994816,207.235935,32.758882,1.311447,1.132437,0.17901,131.819885,0.720327,9195.251461,0.567568,42,0.073394,8,0.926606,101,0.432432,32,0.84,0.567568,0.677419,0.842735,0.770492,0.183727,0.816273,0.229508,0.788301,0.770492,0.7638,0.880571,148.393,0.075,148.21,0.07,442871,94310,51435,?
output,7,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160110.2332,357,184,135,49,0,73.369565,26.630435,0,0.494619,0.086798,0.239947,54.306241,85.456269,246.778295,245.030174,1.748121,1.341186,1.331686,0.009501,113.159022,0.614995,7981.707228,0.743243,55,0.263636,29,0.736364,81,0.256757,19,0.654762,0.743243,0.696203,0.82715,0.733696,0.22989,0.77011,0.266304,0.689415,0.733696,0.710385,0.843716,148.632,0.079,148.23,0.07,442871,94065,51680,?
output,8,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160110.2334,357,184,134,50,0,72.826087,27.173913,0,0.496635,0.089405,0.239049,55.951823,85.182998,243.960166,228.974823,14.985344,1.32587,1.244428,0.081442,113.134743,0.614863,7931.128926,0.716216,53,0.245455,27,0.754545,83,0.283784,21,0.6625,0.716216,0.688312,0.79398,0.728261,0.223269,0.776731,0.271739,0.726223,0.728261,0.723153,0.826769,147.051,0.076,146.83,0.06,442871,94065,51680,?
output,9,weka.classifiers.functions.MultilayerPerceptron,'-L 0.3 -M 0.2 -N 500 -V 0 -S 0 -E 20 -H a',-5990607817048210779,20160110.2337,357,184,139,45,0,75.543478,24.456522,0,0.547665,0.07897,0.234262,49.423174,83.480416,242.960166,187.658799,55.301367,1.320436,1.019885,0.300551,130.056156,0.706827,9104.141212,0.540541,40,0.081818,9,0.918182,101,0.459459,34,0.816327,0.540541,0.650407,0.831572,0.755435,0.209077,0.790923,0.244565,0.764537,0.755435,0.743308,0.873813,148.748,0.078,148.54,0.06,442871,94065,51680,?
