"category", "problem", "neighborhood", "neighborhood_size", "population", "inertia", "factor1", "factor2", "fitness"
"crafted", "brock200_2.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "157"
"crafted", "brock200_2.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "153"
"crafted", "brock200_2.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "157"
"crafted", "brock200_4.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "223"
"crafted", "brock200_4.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "223"
"crafted", "brock200_4.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "221"
"crafted", "brock800_1.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "224"
"crafted", "brock800_1.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "222"
"crafted", "brock800_1.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "225"
"crafted", "brock800_2.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "218"
"crafted", "brock800_2.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "222"
"crafted", "brock800_2.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "224"
"crafted", "brock800_3.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "215"
"crafted", "brock800_3.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "218"
"crafted", "brock800_3.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "217"
"crafted", "brock800_4.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "213"
"crafted", "brock800_4.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "214"
"crafted", "brock800_4.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "219"
"crafted", "c-fat200-1.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "7"
"crafted", "c-fat200-1.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "8"
"crafted", "c-fat200-1.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "8"
"crafted", "c-fat200-2.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "35"
"crafted", "c-fat200-2.clq.cnf", "ring", "3", "20", "1", "1.7", "2.3", "37"
