"category","problem","best_fit","Opt"
"crafted","MANN_a27.clq.cnf",404,
"crafted","MANN_a45.clq.cnf",418,
"crafted","MANN_a81.clq.cnf",399,"399"
"crafted","MANN_a9.clq.cnf",423,
"crafted","brock200_1.clq.cnf",240.16666666666666,"238"
"crafted","brock200_2.clq.cnf",143.8,"141"
"crafted","brock200_3.clq.cnf",217.73333333333332,"214"
"crafted","brock200_4.clq.cnf",211.6,"209"
"crafted","brock400_1.clq.cnf",259.1333333333333,"255"
"crafted","brock400_2.clq.cnf",255.46666666666667,"252"
"crafted","brock400_3.clq.cnf",240.86666666666667,"238"
"crafted","brock400_4.clq.cnf",252.46666666666667,"249"
"crafted","brock800_1.clq.cnf",207.64285714285714,"205"
"crafted","brock800_2.clq.cnf",209.21428571428572,"207"
"crafted","brock800_3.clq.cnf",207.07142857142858,"203"
"crafted","brock800_4.clq.cnf",203.28571428571428,"200"
"crafted","c-fat200-1.clq.cnf",4.666666666666667,"4"
"crafted","c-fat200-2.clq.cnf",28.666666666666668,"26"
"crafted","c-fat200-5.clq.cnf",117.4,"116"
"crafted","c-fat500-1.clq.cnf",2,"2"
"crafted","c-fat500-10.clq.cnf",200,"200"
"crafted","c-fat500-2.clq.cnf",24,"24"
"crafted","c-fat500-5.clq.cnf",90,"90"
"crafted","hamming10-2.clq.cnf",400,
"crafted","hamming10-4.clq.cnf",322.2857142857143,"319"
"crafted","hamming6-2.clq.cnf",854.0714285714286,
"crafted","hamming6-4.clq.cnf",195.42857142857142,"192"
"crafted","hamming8-2.clq.cnf",441,
"crafted","hamming8-4.clq.cnf",179,"176"
"crafted","johnson16-2-4.clq.cnf",217.85714285714286,"215"
"crafted","johnson32-2-4.clq.cnf",331.7857142857143,"329"
"crafted","johnson8-2-4.clq.cnf",75,"75"
"crafted","johnson8-4-4.clq.cnf",815.2857142857143,
"crafted","keller4.clq.cnf",199,"199"
"crafted","keller5.clq.cnf",251.64285714285714,"250"
"crafted","maxcut-140-630-0.7-1.cnf",185.21428571428572,"160"
"crafted","maxcut-140-630-0.7-10.cnf",184.46666666666667,"167"
"crafted","maxcut-140-630-0.7-11.cnf",190.6,"170"
"crafted","maxcut-140-630-0.7-12.cnf",189.06666666666666,"167"
"crafted","maxcut-140-630-0.7-13.cnf",188.4,"169"
"crafted","maxcut-140-630-0.7-14.cnf",187,"166"
"crafted","maxcut-140-630-0.7-15.cnf",191.13333333333333,"169"
"crafted","maxcut-140-630-0.7-16.cnf",185.06666666666666,"167"
"crafted","maxcut-140-630-0.7-17.cnf",188.73333333333332,"166"
"crafted","maxcut-140-630-0.7-18.cnf",186.26666666666668,"166"
"crafted","maxcut-140-630-0.7-19.cnf",189.13333333333333,"167"
"crafted","maxcut-140-630-0.7-2.cnf",178,"160"
"crafted","maxcut-140-630-0.7-20.cnf",187.85714285714286,"168"
"crafted","maxcut-140-630-0.7-21.cnf",186.53333333333333,"165"
"crafted","maxcut-140-630-0.7-22.cnf",185.4,"164"
"crafted","maxcut-140-630-0.7-23.cnf",186.4,"165"
"crafted","maxcut-140-630-0.7-24.cnf",188.66666666666666,"166"
"crafted","maxcut-140-630-0.7-25.cnf",184.26666666666668,"167"
"crafted","maxcut-140-630-0.7-26.cnf",189.07142857142858,"166"
"crafted","maxcut-140-630-0.7-27.cnf",181.4,"165"
"crafted","maxcut-140-630-0.7-28.cnf",184.86666666666667,"167"
"crafted","maxcut-140-630-0.7-29.cnf",188.6,"166"
"crafted","maxcut-140-630-0.7-3.cnf",187.33333333333334,"168"
"crafted","maxcut-140-630-0.7-30.cnf",189.46666666666667,"167"
"crafted","maxcut-140-630-0.7-31.cnf",187.8,"170"
"crafted","maxcut-140-630-0.7-32.cnf",184.46666666666667,"164"
"crafted","maxcut-140-630-0.7-33.cnf",185.6,"165"
