"category", "problem", "population", "xover_method", "xover_rate", "mut_rate", "mut_method", "mut_param", "sel_method", "sel_param", "fitness"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "141"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "147"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "146"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "141"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "150"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "149"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "147"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "141"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "146"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "144"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "144"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "141"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "141"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "142"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "146"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "146"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "147"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "142"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "141"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "147"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "151"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "149"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "149"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "144"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "147"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "141"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "144"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "150"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "141"
"crafted", "brock200_2.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "141"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "209"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "209"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "213"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "211"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "210"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "215"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "213"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "218"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "212"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "209"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "209"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "209"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "212"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "213"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "209"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "213"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "212"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "213"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "216"
"crafted", "brock200_4.clq.cnf", "50", "1pt xover", "0.8", "1", "bitflip", "0.01", "tournament", "2", "211"
