problem,category,Check,ptn_avg,ptn_stddev,ptn_vc,ptn_min,ptn_max,ptn_entropy,varptn_avg,varptn_stddev,varptn_vc,varptn_min,varptn_max,varptn_entropy,unary,binary,ternary,clauses,variables,ratio,ratio_sq,ratio_cube,rec_ratio,rec_ratio_sq,rec_ratio_cube,lin_ratio,lin_ratio_sq,lin_ratio_cube,First Best
brock200_2.clq.cnf,crafted,1,0.5,0.5,1,0,1,-5.953243,1,0,0,1,1,-3.688879,0,1,0,770,40,19.25,370.5625,7133.328125,0.051948051948052,0.0026986001011975,0.000140187018244026,14.65,214.6225,3144.219625,"GA POP(50) XOVER(1pt xover, 0.6) MUT(1, bitflip, 0.01) tournament(3)"
brock200_4.clq.cnf,crafted,1,0.5,0.5,1,0,1,-6.242223,1,0,0,1,1,-3.688879,0,1,0,1028,40,25.7,660.49,16974.593,0.0389105058365759,0.00151402746445821,0.0000589115744925372,21.1,445.21,9393.931,"GA POP(20) XOVER(1pt xover, 0.8) MUT(1, bitflip, 0.01) tournament(3)"
brock800_2.clq.cnf,crafted,1,0.5,0.5,1,0,1,-6.240276,1,0,0,1,1,-3.688879,0,1,0,1026,40,25.65,657.9225,16875.712125,0.0389863547758285,0.00151993585870676,0.0000592567586240453,21.05,443.1025,9327.307625,"GA POP(50) XOVER(1pt xover, 0.6) MUT(1, bitflip, 0.01) tournament(3)"
brock800_3.clq.cnf,crafted,1,0.5,0.5,1,0,1,-6.228511,1,0,0,1,1,-3.688879,0,1,0,1014,40,25.35,642.6225,16290.480375,0.0394477317554241,0.00155612354064789,0.0000613855440097788,20.75,430.5625,8934.171875,"GA POP(50) XOVER(1pt xover, 0.8) MUT(1, bitflip, 0.01) tournament(2)"
brock800_4.clq.cnf,crafted,1,0.5,0.5,1,0,1,-6.2106,1,0,0,1,1,-3.688879,0,1,0,996,40,24.9,620.01,15438.249,0.0401606425702811,0.00161287721165788,0.0000647741852071436,20.3,412.09,8365.427,"GA POP(20) XOVER(1pt xover, 0.8) MUT(1, bitflip, 0.01) tournament(3)"
c-fat200-1.clq.cnf,crafted,1,0.5,0.5,1,0,1,-3.828641,1,0,0,1,1,-3.688879,0,1,0,92,40,2.3,5.29,12.167,0.434782608695652,0.189035916824197,0.0821895290539985,2.3,5.29,12.167,"GA POP(50) XOVER(1pt xover, 0.6) MUT(1, bitflip, 0.01) tournament(3)"
c-fat200-2.clq.cnf,crafted,1,0.5,0.5,1,0,1,-4.736198,1,0,0,1,1,-3.688879,0,1,0,228,40,5.7,32.49,185.193,0.175438596491228,0.0307787011388119,0.00539977212961613,1.1,1.21,1.331,"GA POP(20) XOVER(1pt xover, 0.8) MUT(1, bitflip, 0.01) tournament(3)"
c-fat200-5.clq.cnf,crafted,1,0.5,0.5,1,0,1,-5.777652,1,0,0,1,1,-3.688879,0,1,0,646,40,16.15,260.8225,4212.283375,0.0619195046439628,0.00383402505535374,0.000237400932220046,11.55,133.4025,1540.798875,"GA POP(50) XOVER(1pt xover, 0.6) MUT(1, bitflip, 0.01) tournament(3)"
hamming8-4.clq.cnf,crafted,1,0.5,0.5,1,0,1,-6.20859,1,0,0,1,1,-3.7612,0,1,0,994,43,23.1162790697674,534.362358031368,12352.4693926321,0.0432595573440644,0.00187138930160439,0.0000809554728058239,18.5162790697674,342.852590589508,6348.35424714805,"GA POP(50) XOVER(1pt xover, 0.6) MUT(1, bitflip, 0.01) tournament(3)"
johnson8-2-4.clq.cnf,crafted,1,0.5,0.5,1,0,1,-5.347108,1,0,0,1,1,-3.332205,0,1,0,420,28,15,225,3375,0.0666666666666667,0.00444444444444444,0.000296296296296296,10.4,108.16,1124.864,"PSO linear(3) POP(20) Params(1, 1.7, 2.3)"
