@relation weka

@attribute problem {brock200_2.clq.cnf,brock200_4.clq.cnf,brock800_2.clq.cnf,brock800_3.clq.cnf,brock800_4.clq.cnf,c-fat200-1.clq.cnf,c-fat200-2.clq.cnf,c-fat200-5.clq.cnf,hamming8-4.clq.cnf,johnson8-2-4.clq.cnf,p_hat1000-1.clq.cnf,p_hat1000-2.clq.cnf,p_hat300-1.clq.cnf,p_hat300-2.clq.cnf,p_hat500-1.clq.cnf,p_hat500-2.clq.cnf,p_hat700-1.clq.cnf,p_hat700-2.clq.cnf,s3v70c800-1.cnf,s3v70c800-2.cnf,s3v70c800-3.cnf,s3v70c800-4.cnf,s3v70c800-6.cnf,s3v70c800-7.cnf,s3v70c800-8.cnf,s3v70c800-9.cnf,s3v80c600-1.cnf,s3v80c600-10.cnf,s3v80c600-2.cnf,s3v80c600-3.cnf,s3v80c600-4.cnf,s3v80c600-5.cnf,s3v80c600-6.cnf,s3v80c600-7.cnf,s3v80c600-8.cnf,s3v80c600-9.cnf,s3v80c700-1.cnf,s3v80c700-10.cnf,s3v80c700-2.cnf,s3v80c700-3.cnf,s3v80c700-4.cnf,s3v80c700-5.cnf,s3v80c700-6.cnf,s3v80c700-7.cnf,s3v80c700-8.cnf,s3v80c700-9.cnf,s3v80c800-2.cnf,san1000.clq.cnf,san400_0.5_1.clq.cnf,sanr400_0.5.clq.cnf,scpcyc06_maxsat.cnf,t3pm3-5555.spn.cnf,t4pm3-6666.spn.cnf,t5pm3-7777.spn.cnf}
@attribute category {crafted,random}
@attribute Check numeric
@attribute ptn_avg numeric
@attribute ptn_stddev numeric
@attribute ptn_vc numeric
@attribute ptn_min numeric
@attribute ptn_max numeric
@attribute ptn_entropy numeric
@attribute varptn_avg numeric
@attribute varptn_stddev numeric
@attribute varptn_vc numeric
@attribute varptn_min numeric
@attribute varptn_max numeric
@attribute varptn_entropy numeric
@attribute unary numeric
@attribute binary numeric
@attribute ternary numeric
@attribute clauses numeric
@attribute variables numeric
@attribute ratio numeric
@attribute ratio_sq numeric
@attribute ratio_cube numeric
@attribute rec_ratio numeric
@attribute rec_ratio_sq numeric
@attribute rec_ratio_cube numeric
@attribute lin_ratio numeric
@attribute lin_ratio_sq numeric
@attribute lin_ratio_cube numeric
@attribute 'First Best' {'GA POP(50) XOVER(1pt xover, 0.6) MUT(1, bitflip, 0.01) tournament(3)','GA POP(20) XOVER(1pt xover, 0.8) MUT(1, bitflip, 0.01) tournament(3)','GA POP(50) XOVER(1pt xover, 0.8) MUT(1, bitflip, 0.01) tournament(2)','PSO linear(3) POP(20) Params(1, 1.7, 2.3)','GA POP(50) XOVER(1pt xover, 0.8) MUT(1, bitflip, 0.01) tournament(5)'}

@data
brock200_2.clq.cnf,crafted,1,0.5,0.5,1,0,1,-5.953243,1,0,0,1,1,-3.688879,0,1,0,770,40,19.25,370.5625,7133.328125,0.051948,0.002699,0.00014,14.65,214.6225,3144.219625,'GA POP(50) XOVER(1pt xover, 0.6) MUT(1, bitflip, 0.01) tournament(3)'
brock200_4.clq.cnf,crafted,1,0.5,0.5,1,0,1,-6.242223,1,0,0,1,1,-3.688879,0,1,0,1028,40,25.7,660.49,16974.593,0.038911,0.001514,0.000059,21.1,445.21,9393.931,'GA POP(20) XOVER(1pt xover, 0.8) MUT(1, bitflip, 0.01) tournament(3)'
brock800_2.clq.cnf,crafted,1,0.5,0.5,1,0,1,-6.240276,1,0,0,1,1,-3.688879,0,1,0,1026,40,25.65,657.9225,16875.712125,0.038986,0.00152,0.000059,21.05,443.1025,9327.307625,'GA POP(50) XOVER(1pt xover, 0.6) MUT(1, bitflip, 0.01) tournament(3)'
brock800_3.clq.cnf,crafted,1,0.5,0.5,1,0,1,-6.228511,1,0,0,1,1,-3.688879,0,1,0,1014,40,25.35,642.6225,16290.480375,0.039448,0.001556,0.000061,20.75,430.5625,8934.171875,'GA POP(50) XOVER(1pt xover, 0.8) MUT(1, bitflip, 0.01) tournament(2)'
brock800_4.clq.cnf,crafted,1,0.5,0.5,1,0,1,-6.2106,1,0,0,1,1,-3.688879,0,1,0,996,40,24.9,620.01,15438.249,0.040161,0.001613,0.000065,20.3,412.09,8365.427,'GA POP(20) XOVER(1pt xover, 0.8) MUT(1, bitflip, 0.01) tournament(3)'
c-fat200-1.clq.cnf,crafted,1,0.5,0.5,1,0,1,-3.828641,1,0,0,1,1,-3.688879,0,1,0,92,40,2.3,5.29,12.167,0.434783,0.189036,0.08219,2.3,5.29,12.167,'GA POP(50) XOVER(1pt xover, 0.6) MUT(1, bitflip, 0.01) tournament(3)'
c-fat200-2.clq.cnf,crafted,1,0.5,0.5,1,0,1,-4.736198,1,0,0,1,1,-3.688879,0,1,0,228,40,5.7,32.49,185.193,0.175439,0.030779,0.0054,1.1,1.21,1.331,'GA POP(20) XOVER(1pt xover, 0.8) MUT(1, bitflip, 0.01) tournament(3)'
c-fat200-5.clq.cnf,crafted,1,0.5,0.5,1,0,1,-5.777652,1,0,0,1,1,-3.688879,0,1,0,646,40,16.15,260.8225,4212.283375,0.06192,0.003834,0.000237,11.55,133.4025,1540.798875,'GA POP(50) XOVER(1pt xover, 0.6) MUT(1, bitflip, 0.01) tournament(3)'
hamming8-4.clq.cnf,crafted,1,0.5,0.5,1,0,1,-6.20859,1,0,0,1,1,-3.7612,0,1,0,994,43,23.116279,534.362358,12352.469393,0.04326,0.001871,0.000081,18.516279,342.852591,6348.354247,'GA POP(50) XOVER(1pt xover, 0.6) MUT(1, bitflip, 0.01) tournament(3)'
johnson8-2-4.clq.cnf,crafted,1,0.5,0.5,1,0,1,-5.347108,1,0,0,1,1,-3.332205,0,1,0,420,28,15,225,3375,0.066667,0.004444,0.000296,10.4,108.16,1124.864,'PSO linear(3) POP(20) Params(1, 1.7, 2.3)'
